faces,has_text,brightness,vibrancy,contrast,color_variety,red_dominance,sharpness,aspect_ratio,image_name
1,1,0.3978,0.4355,0.2669,0.0,0.2209,440.5582,1.78,vid_1247.jpg
0,0,0.4142,0.2727,0.2421,66.328,0.0176,210.2618,1.78,vid_1248.jpg
0,1,0.4027,0.7208,0.2772,47.037,0.0,709.683,1.78,vid_1249.jpg
4,0,0.3383,0.3349,0.1837,0.0,0.2904,243.7531,1.78,vid_125.jpg
3,1,0.3294,0.2825,0.2095,45.186,0.1079,223.2924,1.78,vid_1250.jpg
0,0,0.3827,0.1761,0.2322,79.418,0.0989,184.1909,1.78,vid_1251.jpg
1,1,0.426,0.2472,0.247,54.244,0.0412,378.3564,1.78,vid_1252.jpg
0,0,0.4611,0.1367,0.245,68.511,0.0223,173.539,1.78,vid_1253.jpg
0,0,0.3406,0.3193,0.2952,78.644,0.0006,204.2098,1.78,vid_1254.jpg
1,1,0.3546,0.2136,0.2675,60.704,0.0043,731.0855,1.78,vid_1255.jpg
0,1,0.4259,0.3733,0.2622,0.0,0.0618,341.2746,1.78,vid_1256.jpg
0,1,0.3797,0.3297,0.248,87.103,0.0213,403.8033,1.78,vid_1257.jpg
3,0,0.2149,0.3079,0.1501,64.513,0.0319,214.7938,1.78,vid_1258.jpg
0,1,0.3914,0.3066,0.2567,0.0,0.1198,601.1537,1.78,vid_1259.jpg
1,1,0.4519,0.4016,0.2765,0.0,0.1016,1589.291,1.78,vid_126.jpg
2,1,0.6333,0.3056,0.2576,0.0,0.13,1111.463,1.78,vid_1260.jpg
0,0,0.333,0.2924,0.2337,73.335,0.0451,125.1161,1.78,vid_1261.jpg
2,0,0.475,0.7737,0.2513,77.097,0.0154,381.5326,1.78,vid_1262.jpg
1,0,0.4577,0.1556,0.2599,67.614,0.0071,207.3776,1.78,vid_1263.jpg
